dataset,model,params,F1
diabetes,svm,"[{'C': 1, 'coef0': 0, 'degree': 2, 'kernel': 'linear'}]",0.5825412291890736
diabetes,dt,"[{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2}]",0.5798999824155073
diabetes,mlp,"[{'activation': 'logistic', 'hidden_layer_sizes': (100, 2), 'solver': 'sgd'}]",0.6118268475585548
diabetes,rf,"[{'max_depth': 2, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 10}]",0.5660519625934535
student,svm,"[{'C': 0.01, 'coef0': 0, 'degree': 5, 'kernel': 'poly'}]",0.6868763977398392
student,dt,"[{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2}]",0.6696930946291559
student,mlp,"[{'activation': 'tanh', 'hidden_layer_sizes': (100, 2), 'solver': 'lbfgs'}]",0.6504875444099633
student,rf,"[{'max_depth': 2, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}]",0.6978071902770908
oulad,svm,"[{'C': 0.01, 'coef0': 0, 'degree': 4, 'kernel': 'poly'}]",0.6739121508040005
oulad,dt,"[{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}]",0.6380197766394345
oulad,mlp,"[{'activation': 'logistic', 'hidden_layer_sizes': (100, 10), 'solver': 'sgd'}]",0.6707214723222142
oulad,rf,"[{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}]",0.6447198029428736
law,svm,"[{'C': 0.1, 'coef0': 1, 'degree': 3, 'kernel': 'poly'}]",0.7994176728600878
law,dt,"[{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2}]",0.7658142809028018
law,mlp,"[{'activation': 'tanh', 'hidden_layer_sizes': (50, 1), 'solver': 'adam'}]",0.8189742244010425
law,rf,"[{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}]",0.8173640535904687
