dataset,model,params,F1
synthetic_simple,svm,"[{'C': 0.01, 'coef0': 0, 'degree': 2, 'kernel': 'linear'}]",1
synthetic_simple,dt,"[{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2}]",1
synthetic_simple,mlp,"[{'activation': 'logistic', 'hidden_layer_sizes': (10, 1), 'solver': 'lbfgs'}]",1
synthetic_simple,rf,"[{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}]",1
synthetic_disease,svm,"[{'C': 1, 'coef0': 0, 'degree': 2, 'kernel': 'linear'}]",0.739398836
synthetic_disease,dt,"[{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10}]",0.681414664
synthetic_disease,mlp,"[{'activation': 'relu', 'hidden_layer_sizes': (20, 5), 'solver': 'adam'}]",0.755525827
synthetic_disease,rf,"[{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 50}]",0.740021617
synthetic_athlete,svm,"[{'C': 0.1, 'coef0': 1, 'degree': 4, 'kernel': 'poly'}]",0.756327146
synthetic_athlete,dt,"[{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 2}]",0.704706891
synthetic_athlete,mlp,"[{'activation': 'relu', 'hidden_layer_sizes': (100, 10), 'solver': 'adam'}]",0.751880691
synthetic_athlete,rf,"[{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}]",0.743173098
ionosphere,svm,"[{'C': 10, 'coef0': 0, 'degree': 2, 'kernel': 'rbf'}]",0.958615283
ionosphere,dt,"[{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2}]",0.923531607
ionosphere,mlp,"[{'activation': 'relu', 'hidden_layer_sizes': (100, 10), 'solver': 'adam'}]",0.957534717
ionosphere,rf,"[{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 50}]",0.956833189
compass,svm,"[{'C': 1, 'coef0': 0, 'degree': 2, 'kernel': 'linear'}]",0.64591772
