,Default,Housing,Loan,AgeGroup,Balance,Day,Duration,Campaign,Pdays,Previous,Job,MaritalStatus,Education,Contact,Month,Poutcome,Subscribed
0,1.0,2.0,1.0,2.0,2143,5,261,1,-1,0,1.0,1.0,3.0,3.0,5.0,4.0,0
1,1.0,2.0,1.0,2.0,29,5,151,1,-1,0,2.0,2.0,2.0,3.0,5.0,4.0,0
2,1.0,2.0,2.0,2.0,2,5,76,1,-1,0,3.0,1.0,2.0,3.0,5.0,4.0,0
3,1.0,2.0,1.0,2.0,1506,5,92,1,-1,0,4.0,1.0,4.0,3.0,5.0,4.0,0
4,1.0,1.0,1.0,2.0,1,5,198,1,-1,0,12.0,2.0,4.0,3.0,5.0,4.0,0
5,1.0,2.0,1.0,2.0,231,5,139,1,-1,0,1.0,1.0,3.0,3.0,5.0,4.0,0
6,1.0,2.0,2.0,2.0,447,5,217,1,-1,0,1.0,2.0,3.0,3.0,5.0,4.0,0
7,2.0,2.0,1.0,2.0,2,5,380,1,-1,0,3.0,3.0,3.0,3.0,5.0,4.0,0
8,1.0,2.0,1.0,2.0,121,5,50,1,-1,0,5.0,1.0,1.0,3.0,5.0,4.0,0
9,1.0,2.0,1.0,2.0,593,5,55,1,-1,0,2.0,2.0,2.0,3.0,5.0,4.0,0
10,1.0,2.0,1.0,2.0,270,5,222,1,-1,0,6.0,3.0,2.0,3.0,5.0,4.0,0
11,1.0,2.0,1.0,2.0,390,5,137,1,-1,0,6.0,2.0,2.0,3.0,5.0,4.0,0
12,1.0,2.0,1.0,2.0,6,5,517,1,-1,0,2.0,1.0,2.0,3.0,5.0,4.0,0
13,1.0,2.0,1.0,2.0,71,5,71,1,-1,0,2.0,1.0,4.0,3.0,5.0,4.0,0
14,1.0,2.0,1.0,2.0,162,5,174,1,-1,0,7.0,1.0,2.0,3.0,5.0,4.0,0
15,1.0,2.0,1.0,2.0,229,5,353,1,-1,0,5.0,1.0,1.0,3.0,5.0,4.0,0
16,1.0,2.0,1.0,2.0,13,5,98,1,-1,0,6.0,2.0,4.0,3.0,5.0,4.0,0
17,1.0,2.0,1.0,2.0,52,5,38,1,-1,0,4.0,1.0,1.0,3.0,5.0,4.0,0
18,1.0,2.0,1.0,2.0,60,5,219,1,-1,0,5.0,1.0,1.0,3.0,5.0,4.0,0
19,1.0,2.0,1.0,2.0,0,5,54,1,-1,0,7.0,1.0,2.0,3.0,5.0,4.0,0
20,1.0,2.0,2.0,2.0,723,5,262,1,-1,0,4.0,1.0,2.0,3.0,5.0,4.0,0
21,1.0,2.0,1.0,2.0,779,5,164,1,-1,0,1.0,1.0,3.0,3.0,5.0,4.0,0
22,1.0,2.0,2.0,2.0,23,5,160,1,-1,0,4.0,2.0,1.0,3.0,5.0,4.0,0
23,1.0,2.0,1.0,2.0,50,5,342,1,-1,0,7.0,1.0,2.0,3.0,5.0,4.0,0
24,1.0,2.0,2.0,2.0,0,5,181,1,-1,0,5.0,1.0,1.0,3.0,5.0,4.0,0
25,1.0,2.0,1.0,2.0,-372,5,172,1,-1,0,6.0,1.0,2.0,3.0,5.0,4.0,0
26,1.0,2.0,1.0,2.0,255,5,296,1,-1,0,1.0,2.0,3.0,3.0,5.0,4.0,0
27,1.0,2.0,2.0,2.0,113,5,127,1,-1,0,3.0,1.0,2.0,3.0,5.0,4.0,0
28,1.0,2.0,1.0,2.0,-246,5,255,2,-1,0,1.0,2.0,2.0,3.0,5.0,4.0,0
29,1.0,2.0,2.0,2.0,265,5,348,1,-1,0,2.0,2.0,2.0,3.0,5.0,4.0,0
30,1.0,1.0,2.0,2.0,839,5,225,1,-1,0,2.0,1.0,2.0,3.0,5.0,4.0,0
31,1.0,2.0,1.0,2.0,378,5,230,1,-1,0,1.0,1.0,3.0,3.0,5.0,4.0,0
32,1.0,2.0,2.0,2.0,39,5,208,1,-1,0,6.0,1.0,2.0,3.0,5.0,4.0,0
33,1.0,2.0,1.0,2.0,0,5,226,1,-1,0,4.0,1.0,2.0,3.0,5.0,4.0,0
34,1.0,2.0,1.0,2.0,10635,5,336,1,-1,0,1.0,1.0,3.0,3.0,5.0,4.0,0
35,1.0,2.0,1.0,2.0,63,5,242,1,-1,0,2.0,3.0,2.0,3.0,5.0,4.0,0
36,1.0,2.0,1.0,2.0,-7,5,365,1,-1,0,4.0,1.0,2.0,3.0,5.0,4.0,0
37,1.0,1.0,1.0,2.0,-3,5,1666,1,-1,0,2.0,1.0,2.0,3.0,5.0,4.0,0
38,1.0,2.0,1.0,2.0,506,5,577,1,-1,0,6.0,3.0,2.0,3.0,5.0,4.0,0
39,1.0,2.0,1.0,2.0,0,5,137,1,-1,0,6.0,2.0,2.0,3.0,5.0,4.0,0
40,1.0,2.0,1.0,2.0,2586,5,160,1,-1,0,7.0,3.0,2.0,3.0,5.0,4.0,0
41,1.0,2.0,1.0,2.0,49,5,180,2,-1,0,1.0,1.0,2.0,3.0,5.0,4.0,0
42,1.0,2.0,1.0,2.0,104,5,22,1,-1,0,4.0,1.0,4.0,3.0,5.0,4.0,0
43,1.0,2.0,1.0,2.0,529,5,1492,1,-1,0,5.0,1.0,2.0,3.0,5.0,4.0,0
44,1.0,2.0,1.0,2.0,96,5,616,1,-1,0,5.0,1.0,4.0,3.0,5.0,4.0,0
45,1.0,2.0,1.0,2.0,-171,5,242,1,-1,0,6.0,2.0,1.0,3.0,5.0,4.0,0
46,1.0,2.0,1.0,2.0,-364,5,355,1,-1,0,8.0,1.0,3.0,3.0,5.0,4.0,0
47,1.0,2.0,1.0,2.0,0,5,225,2,-1,0,2.0,1.0,2.0,3.0,5.0,4.0,0
48,1.0,1.0,1.0,2.0,0,5,160,1,-1,0,2.0,3.0,2.0,3.0,5.0,4.0,0
49,1.0,2.0,1.0,2.0,0,5,363,1,-1,0,1.0,2.0,3.0,3.0,5.0,4.0,0
50,1.0,2.0,1.0,2.0,1291,5,266,1,-1,0,4.0,1.0,2.0,3.0,5.0,4.0,0
51,1.0,2.0,1.0,2.0,-244,5,253,1,-1,0,1.0,3.0,3.0,3.0,5.0,4.0,0
52,1.0,2.0,1.0,2.0,0,5,179,1,-1,0,1.0,1.0,3.0,3.0,5.0,4.0,0
53,1.0,2.0,1.0,2.0,-76,5,787,1,-1,0,6.0,2.0,2.0,3.0,5.0,4.0,0
54,1.0,2.0,2.0,1.0,-103,5,145,1,-1,0,2.0,2.0,2.0,3.0,5.0,4.0,0
55,1.0,1.0,2.0,2.0,243,5,174,1,-1,0,3.0,2.0,3.0,3.0,5.0,4.0,0
56,1.0,2.0,1.0,2.0,424,5,104,1,-1,0,1.0,2.0,3.0,3.0,5.0,4.0,0
57,1.0,2.0,1.0,2.0,306,5,13,1,-1,0,4.0,1.0,4.0,3.0,5.0,4.0,0
58,1.0,2.0,1.0,2.0,24,5,185,1,-1,0,4.0,2.0,4.0,3.0,5.0,4.0,0
59,1.0,2.0,1.0,2.0,179,5,1778,1,-1,0,7.0,1.0,1.0,3.0,5.0,4.0,0
60,1.0,2.0,1.0,2.0,0,5,138,1,-1,0,6.0,1.0,3.0,3.0,5.0,4.0,0
61,1.0,2.0,1.0,2.0,989,5,812,1,-1,0,2.0,3.0,2.0,3.0,5.0,4.0,0
62,1.0,2.0,1.0,2.0,249,5,164,1,-1,0,4.0,1.0,1.0,3.0,5.0,4.0,0
63,1.0,2.0,1.0,2.0,790,5,391,1,-1,0,7.0,1.0,2.0,3.0,5.0,4.0,0
64,1.0,2.0,1.0,2.0,154,5,357,1,-1,0,4.0,1.0,4.0,3.0,5.0,4.0,0
65,1.0,2.0,1.0,2.0,6530,5,91,1,-1,0,1.0,1.0,3.0,3.0,5.0,4.0,0
66,1.0,1.0,1.0,2.0,100,5,528,1,-1,0,5.0,1.0,3.0,3.0,5.0,4.0,0
67,1.0,2.0,1.0,2.0,59,5,273,1,-1,0,1.0,3.0,3.0,3.0,5.0,4.0,0
68,1.0,2.0,1.0,2.0,1205,5,158,2,-1,0,2.0,1.0,2.0,3.0,5.0,4.0,0
69,1.0,2.0,2.0,2.0,12223,5,177,1,-1,0,4.0,2.0,2.0,3.0,5.0,4.0,0
70,1.0,2.0,2.0,2.0,5935,5,258,1,-1,0,4.0,1.0,2.0,3.0,5.0,4.0,0
