,NoDefaultNextMonth (label),isMale,isMarried,AgeGroup,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HasHistoryOfOverduePayments
0,0,0,1,1.0,3,120,20,0,6,0,120,0,2,5,1
1,0,0,0,2.0,3,110,60,0,6,0,80,0,3,5,1
2,1,0,0,2.0,3,890,150,0,5,0,890,50,1,1,0
3,1,0,1,2.0,3,1510,60,0,0,3,1430,60,1,1,0
4,1,1,1,3.0,3,1090,1120,1,2,0,260,60,1,1,0
5,1,1,0,2.0,4,1970,80,0,0,3,1970,80,1,1,0
6,1,1,0,2.0,4,16570,1680,0,0,5,11240,1680,1,1,0
7,1,0,0,1.0,3,360,50,4,6,0,360,10,1,1,0
8,1,0,1,2.0,2,430,100,0,6,0,340,100,2,3,1
9,1,1,0,2.0,2,420,400,1,4,0,0,0,1,1,0
10,1,0,0,2.0,2,340,110,1,6,0,340,70,2,3,1
11,1,0,0,3.0,4,680,680,2,6,0,370,670,2,3,1
12,1,0,0,3.0,3,370,200,0,6,0,370,30,1,1,0
13,0,1,0,2.0,3,2060,100,0,0,4,2010,100,3,8,1
14,1,1,0,2.0,4,2160,90,0,0,0,2160,90,1,1,0
15,0,1,0,1.0,4,580,100,0,0,5,470,100,2,9,1
16,1,1,1,3.0,4,7730,5970,1,1,0,7730,320,1,1,0
17,1,0,1,3.0,4,0,0,0,6,0,0,0,2,2,1
18,1,0,0,2.0,4,0,0,0,6,0,0,0,2,2,1
19,1,0,0,2.0,2,1170,1030,1,4,0,1170,90,1,1,0
20,0,0,1,2.0,3,20,20,1,6,0,10,10,1,1,0
21,0,0,0,2.0,3,1430,110,0,0,0,1250,60,3,9,1
22,0,0,1,3.0,4,590,590,2,6,0,170,590,1,1,0
23,1,1,0,1.0,4,250,180,2,6,0,140,180,1,1,0
24,1,1,0,1.0,2,1450,60,0,0,2,1450,60,1,1,0
25,0,1,0,2.0,4,10,30,3,6,0,0,0,2,2,1
26,1,0,0,2.0,2,690,50,0,0,0,690,40,1,1,0
27,1,0,1,3.0,2,930,930,2,5,0,20,100,1,1,0
28,1,1,0,2.0,4,560,50,0,0,0,470,50,1,1,0
29,1,0,0,2.0,4,1130,1140,3,6,0,510,530,1,1,0
30,0,1,0,2.0,3,930,50,0,0,0,930,50,2,3,1
31,1,1,0,2.0,4,2840,110,0,0,4,2840,90,1,1,0
32,1,0,1,3.0,3,2180,2180,3,6,0,330,130,1,1,0
33,1,1,1,3.0,4,950,950,2,6,0,420,150,1,1,0
34,1,1,0,2.0,4,920,20,5,6,0,920,0,1,1,0
35,1,1,1,3.0,3,5690,250,0,0,0,5690,250,1,1,0
36,1,0,0,1.0,3,570,1460,1,4,0,460,50,1,1,0
37,0,1,0,2.0,4,20,20,1,6,0,0,20,2,2,1
38,1,1,0,2.0,4,550,300,2,6,0,20,280,2,3,1
39,1,1,0,2.0,4,19200,5770,0,0,1,6680,310,1,1,0
40,1,0,0,2.0,4,2060,140,0,0,6,2060,90,1,1,0
