,Decile1stYear,Decile3rdYear,LSAT,UndergradGPA,FirstYearGPA,CumulativeGPA,WorkFullTime,FamilyIncome,Sex,Tier,Race,BarExam
0,10,10,44.0,3.5,1.33,1.88,1,5,2.0,4,1,1
1,5,4,29.0,3.5,-0.11,-0.57,1,4,2.0,2,1,1
2,3,2,36.0,3.5,-0.64,-1.12,1,1,1.0,3,1,1
3,7,4,39.0,3.5,0.34,-0.49,1,4,1.0,3,1,1
4,9,8,48.0,3.5,1.02,0.76,1,4,1.0,5,1,1
5,3,5,40.0,3.5,-0.64,-0.12,1,4,2.0,3,1,1
6,9,7,34.0,3.5,0.96,0.45,1,3,2.0,3,1,1
7,10,10,40.0,3.5,1.34,1.41,2,2,1.0,3,1,1
8,4,2,40.0,3.5,-0.44,-1.01,1,4,1.0,5,1,1
9,7,5,28.0,3.5,0.48,-0.04,1,2,2.0,1,2,0
10,2,2,33.0,3.5,-0.84,-1.19,1,4,2.0,2,1,0
11,5,5,36.0,3.5,0.09,-0.01,1,3,2.0,4,1,1
12,6,7,31.0,3.5,0.3,0.34,1,2,2.0,3,1,1
13,6,6,42.0,3.5,0.09,0.08,1,3,1.0,4,1,1
14,4,3,34.0,3.5,-0.2,-0.57,1,4,2.0,3,1,1
15,6,6,39.0,3.5,0.23,0.11,1,4,1.0,5,2,1
16,5,3,33.0,3.5,-0.08,-0.6,1,4,2.0,5,1,1
17,5,5,44.0,3.5,-0.15,-0.03,1,3,2.0,4,1,1
18,3,6,32.0,3.5,-0.56,-0.01,1,3,2.0,3,1,1
19,1,1,30.0,3.5,-1.32,-1.51,1,3,2.0,3,1,1
20,5,5,36.0,3.5,-0.12,-0.06,1,3,2.0,4,1,1
21,7,7,38.0,3.5,0.55,0.46,1,3,2.0,3,1,1
22,9,9,35.0,3.5,1.26,0.98,1,4,1.0,3,1,1
23,8,8,31.0,3.5,0.61,0.7,1,3,2.0,2,1,1
24,3,4,47.0,3.5,-0.6,-0.37,1,4,1.0,6,1,1
25,7,5,40.0,3.5,0.53,-0.11,1,4,2.0,3,1,1
26,7,7,30.0,3.5,0.3,0.23,1,3,2.0,2,1,1
27,10,10,34.0,3.5,1.75,3.15,1,3,1.0,3,1,1
28,2,5,39.0,3.5,-0.81,-0.07,1,3,1.0,4,1,1
29,9,7,48.0,3.5,1.26,0.37,1,3,1.0,6,1,1
30,6,4,37.0,3.5,0.23,-0.53,1,1,1.0,4,1,1
31,6,7,39.0,3.5,0.19,0.45,1,2,2.0,4,1,1
32,3,3,33.0,3.5,-0.48,-0.76,1,3,2.0,3,1,1
33,6,8,45.0,3.5,0.23,0.62,1,4,1.0,4,1,1
34,10,9,36.0,3.5,1.54,1.22,1,4,2.0,3,1,1
35,10,10,44.0,3.5,2.65,1.73,1,4,1.0,5,1,1
36,1,1,30.5,3.5,-1.99,-2.17,1,4,1.0,3,1,1
37,10,10,40.0,3.5,2.17,2.27,1,3,1.0,4,1,1
38,7,9,48.0,3.5,0.4,0.87,1,4,2.0,5,1,1
39,6,5,39.0,3.5,0.1,-0.06,1,3,2.0,5,1,1
40,9,10,31.0,3.5,1.21,1.49,2,3,2.0,3,1,1
41,7,8,33.5,3.5,0.55,0.63,1,4,1.0,5,1,1
42,9,10,31.0,3.5,1.26,1.6,1,3,2.0,3,1,1
43,2,3,32.0,3.5,-0.86,-0.65,1,4,1.0,3,1,1
44,3,3,38.0,3.5,-0.56,-0.83,1,3,1.0,5,1,1
45,7,10,30.0,3.5,0.53,1.83,1,4,2.0,3,1,1
46,10,9,37.0,3.5,1.51,1.09,1,4,1.0,3,1,1
47,4,4,32.0,3.5,-0.32,-0.31,1,4,2.0,5,1,1
48,6,6,35.0,3.5,0.26,0.26,1,4,1.0,4,1,1
49,9,10,44.0,3.5,1.14,1.34,1,4,2.0,3,1,1
50,1,2,32.0,3.5,-1.44,-0.93,1,3,2.0,4,1,1
51,10,10,37.0,3.5,1.65,1.68,1,4,2.0,4,1,1
52,1,3,28.0,3.5,-1.21,-0.87,1,4,2.0,3,1,1
53,10,10,39.0,3.5,1.84,1.89,1,3,1.0,4,1,1
54,8,9,35.0,3.5,0.81,1.33,1,4,1.0,2,1,1
55,2,1,37.0,3.5,-0.83,-1.76,1,4,2.0,5,2,1
56,3,3,46.0,3.5,-0.6,-0.7,1,4,1.0,6,1,1
57,2,3,39.0,3.5,-0.99,-0.73,1,4,1.0,5,1,1
58,5,7,43.0,3.5,0.06,0.3,1,3,2.0,4,1,1
59,8,8,34.0,3.5,0.84,0.68,1,4,2.0,3,1,1
60,8,6,33.0,3.5,0.58,0.15,1,3,2.0,3,1,1
61,10,10,43.0,3.5,2.0,1.97,1,4,2.0,3,1,1
62,4,6,41.0,3.5,-0.28,0.25,1,3,2.0,6,1,1
63,8,6,33.0,3.5,0.58,0.05,1,2,2.0,3,1,1
64,6,6,35.0,3.5,0.27,0.06,1,3,1.0,2,1,1
65,5,5,42.0,3.5,-0.11,-0.1,1,1,2.0,4,1,1
