,Age,Sex,Sport,TrainingTime,SleepHours,Diet,Label
0,27,0,1,4,10,4,1
1,20,0,2,1,10,3,0
2,36,0,4,2,8,4,0
3,42,0,1,3,9,3,1
4,46,1,2,4,6,4,0
5,32,1,4,3,6,1,1
6,24,0,2,4,8,1,1
7,28,0,4,2,10,4,1
8,18,1,2,3,9,3,0
9,17,1,3,3,6,2,0
10,20,1,3,2,7,2,0
11,44,1,3,4,6,1,1
12,21,0,2,3,9,1,0
13,48,0,3,3,9,1,1
14,22,0,4,2,9,1,1
15,40,0,4,2,10,3,0
16,17,1,1,3,10,4,1
17,21,1,2,3,6,4,0
18,23,0,2,4,6,4,1
19,24,1,4,1,9,4,0
20,34,0,1,2,9,2,0
21,24,0,3,2,9,3,0
22,40,1,2,3,8,1,0
23,17,1,4,4,9,4,1
24,30,0,4,4,9,3,0
25,17,0,3,3,10,2,1
26,38,0,1,4,8,2,0
27,10,1,4,3,7,2,1
28,33,1,3,1,9,3,0
29,28,1,2,1,10,4,0
30,15,0,2,4,7,1,1
31,32,1,1,4,7,1,1
32,11,1,4,2,6,2,1
33,39,1,1,2,6,3,0
34,31,0,3,3,7,4,0
35,24,1,3,4,6,4,1
36,31,0,1,2,8,2,1
37,26,0,4,2,9,2,1
38,16,0,4,1,7,1,1
39,23,0,1,4,7,3,1
40,17,0,2,3,9,1,1
41,13,0,3,3,7,3,1
42,20,1,2,3,8,1,1
43,36,0,1,4,8,1,0
44,44,1,2,1,6,2,1
45,22,1,1,1,10,1,0
46,48,1,1,1,9,2,0
47,19,1,2,2,8,1,1
48,13,1,3,4,8,4,1
49,41,1,4,1,7,2,0
50,16,1,1,1,10,4,0
51,39,1,1,2,7,4,0
52,38,0,1,4,6,4,1
53,12,0,4,1,9,4,0
54,30,1,1,2,6,1,1
55,36,0,1,4,10,1,1
56,19,0,2,4,6,1,1
57,24,0,2,1,10,4,0
58,47,1,3,3,8,3,0
59,35,1,3,4,10,3,0
60,37,0,2,3,6,2,1
61,18,1,4,3,8,3,1
62,11,1,2,2,7,3,0
63,16,1,3,2,8,1,1
64,30,1,3,3,6,4,1
65,26,0,3,4,10,1,1
66,49,0,3,1,8,3,0
67,15,1,3,3,8,3,0
68,20,1,1,1,8,1,0
69,15,1,1,4,9,2,1
70,49,1,4,4,9,2,1
71,36,0,4,3,7,1,1
72,28,0,3,3,7,2,1
73,47,0,4,2,10,2,0
74,22,1,2,2,10,4,0
75,26,1,4,3,7,3,1
76,31,0,2,3,6,3,0
77,19,0,3,4,6,2,1
78,28,0,4,3,9,1,1
79,14,0,4,1,8,3,1
80,35,0,2,2,6,1,1
81,38,0,4,2,8,1,0
82,10,1,1,1,7,2,1
83,44,1,3,2,8,4,0
84,37,0,3,2,7,2,0
85,27,0,4,3,8,3,1
86,21,1,3,1,9,1,0
87,40,0,2,3,10,3,1
88,21,0,4,2,8,4,0
89,44,1,1,3,7,4,1
90,22,0,1,2,9,2,1
91,18,1,2,3,7,3,1
92,41,1,4,3,6,4,1
93,16,0,1,2,9,2,0
94,27,1,1,1,10,1,0
95,12,1,1,3,8,4,1
96,47,1,4,1,9,1,0
97,30,1,4,2,9,4,0
98,34,1,2,4,6,2,1
99,27,1,2,1,10,1,1
100,40,0,1,3,9,2,0
101,13,1,4,3,7,4,0
102,45,1,1,4,7,1,1
103,15,0,1,4,9,4,1
104,16,1,1,3,8,3,0
105,47,1,2,1,6,2,0
106,35,0,3,4,6,3,1
107,18,1,1,4,8,1,1
108,45,1,2,2,10,2,0
109,43,0,3,3,8,3,0
